
--------------------- Evaluating -------------------------------
[epoch: 1] | collapsemetric: 2.3067 | ETF metric: 0.0000 | WH metric: 0.6353 | Wh_b metric: 0.8803
[epoch: 20] | train top1: 94.1500 | train top5: 99.8180 | test top1: 75.1600 | test top5: 97.2800  (nearest neighbor accuracy)
[epoch: 21] | collapsemetric: 0.2613 | ETF metric: 0.0000 | WH metric: 0.2818 | Wh_b metric: 0.6318
[epoch: 21] | train top1: 94.5400 | train top5: 99.9200 | test top1: 75.7400 | test top5: 97.6600
[epoch: 21] | train top1: 93.9900 | train top5: 99.8780 | test top1: 75.4500 | test top5: 97.8200  (nearest neighbor accuracy)
[epoch: 22] | collapsemetric: 0.2651 | ETF metric: 0.0000 | WH metric: 0.3147 | Wh_b metric: 0.6904
[epoch: 22] | train top1: 93.8800 | train top5: 99.9120 | test top1: 74.7500 | test top5: 97.3700
[epoch: 22] | train top1: 93.0820 | train top5: 99.8240 | test top1: 74.5400 | test top5: 97.3000  (nearest neighbor accuracy)
[epoch: 23] | collapsemetric: 0.2322 | ETF metric: 0.0000 | WH metric: 0.2609 | Wh_b metric: 0.6842
[epoch: 23] | train top1: 95.5240 | train top5: 99.9180 | test top1: 76.6700 | test top5: 97.7600
[epoch: 23] | train top1: 95.0160 | train top5: 99.8960 | test top1: 76.1200 | test top5: 97.6000  (nearest neighbor accuracy)
[epoch: 24] | collapsemetric: 0.2435 | ETF metric: 0.0000 | WH metric: 0.2866 | Wh_b metric: 0.5026
[epoch: 24] | train top1: 94.2240 | train top5: 99.8960 | test top1: 75.6500 | test top5: 97.4500
[epoch: 24] | train top1: 93.7200 | train top5: 99.8320 | test top1: 75.2600 | test top5: 97.2400  (nearest neighbor accuracy)
[epoch: 25] | collapsemetric: 0.2366 | ETF metric: 0.0000 | WH metric: 0.2847 | Wh_b metric: 0.6508
[epoch: 25] | train top1: 95.6840 | train top5: 99.9260 | test top1: 75.8900 | test top5: 97.6500
[epoch: 25] | train top1: 94.9360 | train top5: 99.8760 | test top1: 75.3300 | test top5: 97.5700  (nearest neighbor accuracy)
[epoch: 26] | collapsemetric: 0.2404 | ETF metric: 0.0000 | WH metric: 0.2907 | Wh_b metric: 0.6548
[epoch: 26] | train top1: 94.9800 | train top5: 99.9320 | test top1: 75.3900 | test top5: 97.4400
[epoch: 26] | train top1: 94.1680 | train top5: 99.8800 | test top1: 75.0800 | test top5: 97.1900  (nearest neighbor accuracy)
[epoch: 27] | collapsemetric: 0.2362 | ETF metric: 0.0000 | WH metric: 0.2780 | Wh_b metric: 0.7345
[epoch: 27] | train top1: 94.7140 | train top5: 99.9440 | test top1: 75.3700 | test top5: 97.2100
[epoch: 27] | train top1: 93.8360 | train top5: 99.9300 | test top1: 74.5800 | test top5: 97.0900  (nearest neighbor accuracy)
[epoch: 28] | collapsemetric: 0.2407 | ETF metric: 0.0000 | WH metric: 0.2677 | Wh_b metric: 0.6403
[epoch: 28] | train top1: 95.3340 | train top5: 99.9460 | test top1: 75.7400 | test top5: 97.2100
[epoch: 28] | train top1: 94.5920 | train top5: 99.9060 | test top1: 75.0700 | test top5: 97.3500  (nearest neighbor accuracy)
[epoch: 29] | collapsemetric: 0.2174 | ETF metric: 0.0000 | WH metric: 0.2688 | Wh_b metric: 0.7079
[epoch: 29] | train top1: 96.4320 | train top5: 99.9640 | test top1: 76.8000 | test top5: 97.6400
[epoch: 29] | train top1: 95.7080 | train top5: 99.9120 | test top1: 75.9800 | test top5: 97.3300  (nearest neighbor accuracy)
[epoch: 30] | collapsemetric: 0.2385 | ETF metric: 0.0000 | WH metric: 0.2763 | Wh_b metric: 0.7884
[epoch: 30] | train top1: 95.2740 | train top5: 99.9420 | test top1: 75.6400 | test top5: 97.4400
[epoch: 30] | train top1: 94.7780 | train top5: 99.9220 | test top1: 75.0200 | test top5: 97.7600  (nearest neighbor accuracy)
[epoch: 31] | collapsemetric: 0.2173 | ETF metric: 0.0000 | WH metric: 0.2564 | Wh_b metric: 0.6979
[epoch: 31] | train top1: 96.2780 | train top5: 99.9560 | test top1: 76.3700 | test top5: 97.5900
[epoch: 31] | train top1: 95.9420 | train top5: 99.9200 | test top1: 76.0900 | test top5: 97.5900  (nearest neighbor accuracy)
[epoch: 32] | collapsemetric: 0.2325 | ETF metric: 0.0000 | WH metric: 0.2940 | Wh_b metric: 0.5857
[epoch: 32] | train top1: 95.6320 | train top5: 99.9440 | test top1: 75.7200 | test top5: 97.5400
[epoch: 32] | train top1: 94.6580 | train top5: 99.8960 | test top1: 75.0600 | test top5: 97.4700  (nearest neighbor accuracy)
[epoch: 33] | collapsemetric: 0.2195 | ETF metric: 0.0000 | WH metric: 0.2498 | Wh_b metric: 0.6243
[epoch: 33] | train top1: 95.6740 | train top5: 99.9580 | test top1: 75.6900 | test top5: 97.5200
[epoch: 33] | train top1: 95.0880 | train top5: 99.9560 | test top1: 75.1200 | test top5: 97.3900  (nearest neighbor accuracy)
[epoch: 34] | collapsemetric: 0.2231 | ETF metric: 0.0000 | WH metric: 0.2651 | Wh_b metric: 0.7169
[epoch: 34] | train top1: 95.4380 | train top5: 99.9640 | test top1: 75.8200 | test top5: 97.5600
[epoch: 34] | train top1: 94.8280 | train top5: 99.9040 | test top1: 75.5200 | test top5: 97.3700  (nearest neighbor accuracy)
[epoch: 35] | collapsemetric: 0.2236 | ETF metric: 0.0000 | WH metric: 0.2520 | Wh_b metric: 0.5805
[epoch: 35] | train top1: 95.8000 | train top5: 99.9560 | test top1: 75.2100 | test top5: 97.3700
[epoch: 35] | train top1: 95.3900 | train top5: 99.9240 | test top1: 74.5900 | test top5: 97.4800  (nearest neighbor accuracy)
[epoch: 36] | collapsemetric: 0.2042 | ETF metric: 0.0000 | WH metric: 0.2639 | Wh_b metric: 0.4694
[epoch: 36] | train top1: 96.7880 | train top5: 99.9620 | test top1: 76.9500 | test top5: 97.6500
[epoch: 36] | train top1: 96.4580 | train top5: 99.9400 | test top1: 76.5500 | test top5: 97.7000  (nearest neighbor accuracy)
[epoch: 37] | collapsemetric: 0.2214 | ETF metric: 0.0000 | WH metric: 0.2737 | Wh_b metric: 0.7709
[epoch: 37] | train top1: 95.8720 | train top5: 99.9580 | test top1: 75.2200 | test top5: 97.4300
[epoch: 37] | train top1: 94.7340 | train top5: 99.9440 | test top1: 74.4000 | test top5: 97.5300  (nearest neighbor accuracy)
[epoch: 38] | collapsemetric: 0.2108 | ETF metric: 0.0000 | WH metric: 0.2409 | Wh_b metric: 0.8248
[epoch: 38] | train top1: 96.2380 | train top5: 99.9660 | test top1: 75.7500 | test top5: 97.4700
[epoch: 38] | train top1: 95.2500 | train top5: 99.9500 | test top1: 74.6700 | test top5: 97.1300  (nearest neighbor accuracy)
[epoch: 39] | collapsemetric: 0.2206 | ETF metric: 0.0000 | WH metric: 0.2613 | Wh_b metric: 0.7302
[epoch: 39] | train top1: 95.3760 | train top5: 99.9640 | test top1: 75.7300 | test top5: 97.1800
[epoch: 39] | train top1: 94.7500 | train top5: 99.9240 | test top1: 75.0500 | test top5: 97.2500  (nearest neighbor accuracy)
[epoch: 40] | collapsemetric: 0.1987 | ETF metric: 0.0000 | WH metric: 0.2234 | Wh_b metric: 0.6696
[epoch: 40] | train top1: 96.4420 | train top5: 99.9380 | test top1: 76.4200 | test top5: 97.6700
[epoch: 40] | train top1: 96.2780 | train top5: 99.9420 | test top1: 76.4300 | test top5: 97.6500  (nearest neighbor accuracy)
[epoch: 41] | collapsemetric: 0.1199 | ETF metric: 0.0000 | WH metric: 0.1593 | Wh_b metric: 0.5474
[epoch: 41] | train top1: 99.7020 | train top5: 99.9840 | test top1: 78.3300 | test top5: 97.8500
[epoch: 41] | train top1: 99.6420 | train top5: 99.9860 | test top1: 78.2100 | test top5: 98.0100  (nearest neighbor accuracy)
[epoch: 42] | collapsemetric: 0.0940 | ETF metric: 0.0000 | WH metric: 0.1026 | Wh_b metric: 0.5960
[epoch: 42] | train top1: 99.9280 | train top5: 99.9860 | test top1: 78.7000 | test top5: 97.6800
[epoch: 42] | train top1: 99.9260 | train top5: 99.9880 | test top1: 78.6900 | test top5: 97.7000  (nearest neighbor accuracy)
[epoch: 43] | collapsemetric: 0.0797 | ETF metric: 0.0000 | WH metric: 0.0811 | Wh_b metric: 0.6303
[epoch: 43] | train top1: 99.9660 | train top5: 99.9860 | test top1: 78.6500 | test top5: 97.4700
[epoch: 43] | train top1: 99.9600 | train top5: 99.9860 | test top1: 78.5300 | test top5: 97.1600  (nearest neighbor accuracy)
[epoch: 44] | collapsemetric: 0.0704 | ETF metric: 0.0000 | WH metric: 0.0784 | Wh_b metric: 0.6152
[epoch: 44] | train top1: 99.9780 | train top5: 99.9880 | test top1: 78.4300 | test top5: 97.3900
[epoch: 44] | train top1: 99.9780 | train top5: 99.9900 | test top1: 78.4800 | test top5: 96.7700  (nearest neighbor accuracy)
[epoch: 45] | collapsemetric: 0.0589 | ETF metric: 0.0000 | WH metric: 0.0659 | Wh_b metric: 0.5880
[epoch: 45] | train top1: 99.9800 | train top5: 99.9880 | test top1: 78.4000 | test top5: 97.2700
[epoch: 45] | train top1: 99.9820 | train top5: 99.9880 | test top1: 78.3200 | test top5: 96.4000  (nearest neighbor accuracy)
[epoch: 46] | collapsemetric: 0.0549 | ETF metric: 0.0000 | WH metric: 0.0724 | Wh_b metric: 0.6082
[epoch: 46] | train top1: 99.9800 | train top5: 99.9900 | test top1: 78.4100 | test top5: 97.0800
[epoch: 46] | train top1: 99.9840 | train top5: 99.9880 | test top1: 78.5700 | test top5: 96.1400  (nearest neighbor accuracy)
--- Logging error ---
Traceback (most recent call last):
  File "/Users/songzeyang/anaconda3/lib/python3.11/logging/__init__.py", line 1114, in emit
    self.flush()
  File "/Users/songzeyang/anaconda3/lib/python3.11/logging/__init__.py", line 1094, in flush
    self.stream.flush()
OSError: [Errno 5] Input/output error
Call stack:
  File "/Users/songzeyang/anaconda3/lib/python3.11/threading.py", line 995, in _bootstrap
    self._bootstrap_inner()
  File "/Users/songzeyang/anaconda3/lib/python3.11/threading.py", line 1038, in _bootstrap_inner
    self.run()
  File "/Users/songzeyang/anaconda3/lib/python3.11/site-packages/ipykernel/parentpoller.py", line 38, in run
    get_logger().warning("Parent appears to have exited, shutting down.")
Message: 'Parent appears to have exited, shutting down.'
Arguments: ()
